Samples	CBSX__LM22__B_cells_naive	CBSX__LM22__B_cells_memory	CBSX__LM22__Plasma_cells	CBSX__LM22__T_cells_CD8	CBSX__LM22__T_cells_CD4_naive	CBSX__LM22__T_cells_CD4_memory_resting	CBSX__LM22__T_cells_CD4_memory_activated	CBSX__LM22__T_cells_follicular_helper	CBSX__LM22__T_cells_regulatory_(Tregs)	CBSX__LM22__T_cells_gamma_delta	CBSX__LM22__NK_cells_resting	CBSX__LM22__NK_cells_activated	CBSX__LM22__Monocytes	CBSX__LM22__Macrophages_M0	CBSX__LM22__Macrophages_M1	CBSX__LM22__Macrophages_M2	CBSX__LM22__Dendritic_cells_resting	CBSX__LM22__Dendritic_cells_activated	CBSX__LM22__Mast_cells_resting	CBSX__LM22__Mast_cells_activated	CBSX__LM22__Eosinophils	CBSX__LM22__Neutrophils
Hugo_Cell_2016-Pt1	0.02527985087251102	0	0.02878656004279635	0.16795738105464808	0	0.10007371766043478	0.01760458420646573	0.02508016935057958	0.02321009468335563	0	0	0.00106830166582679	0.0031687177059162	0.04366963271116829	0.10408125878682728	0.3403268787732858	0.04856270565659829	0	0.05908961240670795	0	0.0120405344228781	0
Hugo_Cell_2016-Pt2	0.01057603982060742	0	0.00531567344420234	0.0962435194007754	0	0.06396923619988723	0	0.0580204038165943	0.01732361042551097	0.03466720018373194	0	0.06387859951522572	0.05424336088133482	0.06452005203372359	0.05394690225680532	0.37412885043194555	0.00313527632388996	0	0	0.06419993449374067	0.00270247740404599	0.03312886336797888
Hugo_Cell_2016-Pt4	0.02716217824251984	0	0.01614424654544495	0.15764362990914524	0	0.01584020420443614	0	0.08356544945691996	0	0	0	0.06924086425430602	0.2117614257666829	0	0.05512578012004221	0.25937110369149813	0.00723722979875385	0	0	0.01026231467266569	0	0.08664557333758524
Hugo_Cell_2016-Pt5	0.00268168323673116	0.00325805027129962	0	0	0.02881040975186636	0.23391083880840752	0	0.00588671396516791	0.082200028703367	0	0.0914790200075956	0	0	0.08928565182353111	0	0.23297159398798753	0	0.03825890135210182	0.17591030487259687	0	0.01534680321934763	0
Hugo_Cell_2016-Pt6	0	0	0.0034475202263563	0	0.05949974402658878	0.06810759231555842	0.01056178141781842	0	0.06479057252204225	0	0.09024525390397622	0	0.15754068067924712	0.13927400693969	0	0.2195637043727132	0	0.03892707493831538	0.02227697695252747	0	0	0.12576509170516642
Hugo_Cell_2016-Pt7	0.0203334772879879	0	0.01429775915301334	0.118881351805916	0	0	0.01756072370686179	0.09406666944210292	0.0172596365688605	0	0	0.01456125764683293	0	0.5603518233777826	0.03348261910485544	0.09512237126685172	0	0	0	0.01163440804246505	0.00244790259646996	0
Hugo_Cell_2016-Pt8	0	0	0	0.15165886972721623	0	0	0	0.07603820574995818	0.02627759073757691	0.01686157322384907	0	0	0.00101206547529863	0.18797520233718615	0.1195913022755246	0.37634216932603515	0.0071980370966989	0	0.03704498405065606	0	0	0
Hugo_Cell_2016-Pt9	0.02775706764060457	0	0.0285656006591075	0.26253007821423846	0	0.00603885781629601	0.02744219036918191	0.03417148623095188	0.03468406897880504	0	0	0.0461361684296823	0.09313475992429568	0.0239822864919273	0.1592220025218964	0.1933311991352487	0.03128986415562304	0	0.03171436943214127	0	0	0
Hugo_Cell_2016-Pt10	0	0.01168242247027618	0.06074408807055741	0	0	0	0	0.14724235391653984	0	0	0.02997193007547664	0	0.0043816640732023	0.44591341929220585	0	0.09966041817275514	0	0.0452651463249449	0	0.05220847487074038	0	0.10293008273330131
Hugo_Cell_2016-Pt12	0	0.00465425329058222	0.00373151710703652	0	0	0.11979523179965516	0	0.01271880609682542	0.02859270029183084	0	0.05341849748881441	0	0	0.38551058786724945	0.01667612038808517	0.21878164749905657	0	0	0	0.11160924344005052	0.03547411574150728	0.00903727898930653
Hugo_Cell_2016-Pt13	0.01094854636584953	0	0	0.2231734878536528	0	0.05614013482883977	0.06462408902149827	0.03607831132633139	0.03916499011340979	0	0	0.04122946350732808	0.11389929968853278	0.01933002901678857	0.06157109281862542	0.2986852421269998	0.00183952728235338	0	0	0.03331578604979042	0	0
Hugo_Cell_2016-Pt14	0	0	0.00564575870386742	0.0641625323772748	0	0.05679262520744918	0	0.0055850133333529	0.01460291489422834	0.0043637791762627	0	0.04113027276983394	0.02004635399706712	0.02549258453409139	0.06734073781188364	0.44846941039298566	0	0	0	0.22055310272819983	0.00140503440952726	0.02440987966397558
